workerID,name,role
1,Alice Miller,Coordinator
2,Bob Johnson,Security
3,Charlie Davis,Manager
4,Dana Wilson,Technician
5,Edward Clark,Volunteer
6,Francis Martinez,Marketing
7,Grace Taylor,Supervisor
8,Henry Moore,Event Planner
9,Isabel Harris,Assistant
10,Jack Lee,Public Relations
11,Kate Scott,Designer
12,Liam Green,Administrator
13,Maria Hall,Logistics
14,Noah Adams,Photographer
15,Olivia Young,Coordinator
16,Paul Walker,Security
17,Quincy Lewis,Technician
18,Rebecca Walker,Volunteer
19,Samuel King,Marketing
20,Tina Allen,Supervisor
21,Uma Clark,Event Planner
22,Vera Wright,Assistant
23,William Carter,Public Relations
24,Xander Baker,Designer
25,Yvonne Perez,Administrator
